data,cdi,variacao_cdi,preco_petro,variacao_petro
2013-12-12,9.77,0,15.7,0.00255427841634733
2013-12-13,9.77,0,15.96,0.0165605095541402
2013-12-16,9.85,0.008188331627430918,16.1,0.00877192982456144
2013-12-17,9.77,-0.00812182741116752,15.57,-0.0329192546583852
2013-12-18,9.77,0,15.71,0.00899165061014776
2013-12-19,9.77,0,16.049999,0.0216422024188414
2013-12-20,9.77,0,15.8,-0.0155762626527266
2013-12-23,9.77,0,15.87,0.00443037974683535
2013-12-26,9.77,0,15.8,-0.00441083805923116
2013-12-27,9.77,0,15.91,0.00696202531645566
2013-12-30,9.77,0,15.99,0.00502828409805154
2014-01-02,9.77,0,15.82,-0.0106316447779862
2014-01-03,9.77,0,15.5,-0.0202275600505689
2014-01-06,9.77,0,15.69,0.012258064516129
2014-01-07,9.77,0,15.2,-0.0312300828553219
2014-01-08,9.77,0,15.21,6.57894736842208e-4
2014-01-09,9.77,0,14.8,-0.0269559500328731
2014-01-10,9.77,0,15.01,0.0141891891891891
2014-01-13,9.77,0,14.71,-0.0199866755496335
2014-01-14,9.77,0,14.65,-0.00407885791978249
2014-01-15,9.77,0,15.12,0.0320819112627986
2014-01-16,10.27,0.0511770726714432,14.71,-0.027116402116402
2014-01-17,10.34,0.006815968841285325,14.61,-0.00679809653297086
2014-01-20,10.35,9.671179883945635e-4,14.3,-0.0212183436002737
2014-01-21,10.35,0,14.35,0.00349650349650342
2014-01-22,10.27,-0.007729468599033823,14.79,0.0306620209059233
2014-01-23,10.27,0,14.45,-0.0229885057471264
2014-01-24,10.27,0,14.08,-0.0256055363321799
2014-01-27,10.27,0,14.02,-0.00426136363636367
2014-01-28,10.27,0,14.02,0
2014-01-29,10.27,0,13.75,-0.0192582025677603
2014-01-30,10.27,0,13.64,-0.00799999999999996
2014-01-31,10.27,0,13.77,0.00953079178885623
2014-02-03,10.27,0,13.1,-0.0486564996368918
2014-02-04,10.29,0.001947419668938615,13.27,0.0129770992366412
2014-02-05,10.29,0,12.96,-0.0233609645817633
2014-02-06,10.29,0,13.3,0.0262345679012346
2014-02-07,10.29,0,13.53,0.0172932330827067
2014-02-10,10.29,0,13.62,0.00665188470066518
2014-02-11,10.29,0,14.03,0.0301027900146843
2014-02-12,10.29,0,14,-0.00213827512473267
2014-02-13,10.29,0,13.72,-0.02
2014-02-14,10.29,0,13.73,7.28862973760917e-4
2014-02-17,10.29,0,13.47,-0.0189366351056081
2014-02-18,10.29,0,13.29,-0.0133630289532295
2014-02-19,10.29,0,13.4,0.00827689992475555
2014-02-20,10.29,0,13.36,-0.00298507462686574
2014-02-21,10.29,0,13.4,0.00299401197604797
2014-02-24,10.29,0,13.64,0.017910447761194
2014-02-25,10.29,0,13.28,-0.0263929618768329
2014-02-26,10.35,0.005830903790087512,12.9,-0.0286144578313252
2014-02-27,10.59,0.02318840579710147,13.33,0.0333333333333333
2014-02-28,10.59,0,12.99,-0.0255063765941485
2014-03-05,10.55,-0.0037771482530688525,12.71,-0.0215550423402617
2014-03-06,10.55,0,12.93,0.0173092053501179
2014-03-07,10.55,0,12.7,-0.0177880897138438
2014-03-10,10.55,0,12.48,-0.0173228346456692
2014-03-11,10.55,0,12.48,0
2014-03-12,10.55,0,12.58,0.00801282051282048
2014-03-13,10.55,0,12.41,-0.0135135135135135
